Date,Close/Last,Volume,Open,High,Low
10/27/2023,138.31,11346310,139.04,139.73,137.67
10/26/2023,137.46,15094820,139.10,140.65,136.63
10/25/2023,138.68,12447800,142.80,143.15,138.03
10/24/2023,144.27,7822682,143.00,144.495,142.53
10/23/2023,142.60,9910711,141.14,144.535,139.96
10/20/2023,142.10,8128776,144.22,145.39,141.93
10/19/2023,144.36,15718220,147.25,147.67,143.88
10/18/2023,145.35,12530920,145.43,146.71,144.63
10/17/2023,148.32,12857940,146.59,149.47,144.47
10/16/2023,150.09,9461813,148.55,150.685,148.42
10/13/2023,148.38,9134436,152.42,152.6325,148.05
10/12/2023,152.19,8554914,151.84,154.06,150.72
10/11/2023,151.42,8921736,150.64,151.44,149.49
10/10/2023,149.80,6790629,148.50,150.975,147.83
10/09/2023,147.97,6840462,146.79,148.455,145.64
10/06/2023,148.35,9946009,144.64,148.945,143.53
10/05/2023,145.21,6094048,145.29,145.90,143.67
10/04/2023,145.21,11083030,143.85,145.48,142.96
10/03/2023,142.98,9456637,145.29,146.86,142.16
10/02/2023,146.23,8600185,145.27,147.27,144.59
09/29/2023,144.98,7985312,146.53,146.93,144.46
09/28/2023,144.29,10791680,141.73,145.65,141.08
09/27/2023,141.99,8814511,141.85,142.92,139.76
09/26/2023,140.70,6702163,141.64,142.39,140.105
09/25/2023,142.96,7861256,141.31,143.11,140.66
09/22/2023,141.96,7332573,142.13,143.40,141.55
09/21/2023,140.76,9908709,141.575,142.57,140.69
09/20/2023,143.63,6978687,146.65,147.24,143.55
09/19/2023,146.03,5574192,146.75,146.99,145.07
09/18/2023,147.30,6786028,145.43,147.82,144.97
09/15/2023,146.81,10179600,150.23,150.54,146.17
09/14/2023,151.39,6951519,152.09,152.16,150.17
09/13/2023,150.57,6192028,149.31,151.83,149.04
09/12/2023,149.36,6174909,149.41,151.65,149.16
09/11/2023,150.49,5824090,152.19,152.19,148.50
09/08/2023,150.38,5305601,150.94,152.17,149.75
09/07/2023,151.33,7813267,151.23,151.73,149.45
09/06/2023,154.76,6104023,156.01,156.80,153.26
09/05/2023,156.58,5472909,155.63,157.62,155.08
09/01/2023,156.21,4495608,157.43,157.63,155.26
08/31/2023,156.22,5965377,154.85,157.155,154.85
08/30/2023,155.59,6526073,154.73,156.22,153.67
08/29/2023,154.80,8770007,150.36,155.30,149.93
08/28/2023,150.93,6822854,150.36,151.09,148.90
08/25/2023,149.09,11769070,148.61,150.75,146.27
08/24/2023,148.82,13494370,156.46,156.59,148.58
08/23/2023,152.77,8347747,149.35,153.22,148.86
08/22/2023,149.53,10829390,153.05,153.24,148.89
08/21/2023,151.04,8109155,147.18,151.235,146.96
08/18/2023,146.13,8817884,143.79,146.66,143.35
08/17/2023,145.51,7397207,147.77,147.80,145.03
08/16/2023,146.50,7232226,148.97,149.14,146.41
08/15/2023,148.85,7596608,150.55,151.09,148.645
08/14/2023,150.66,8154245,145.45,150.73,145.02
08/11/2023,146.21,11182270,148.01,148.12,146.04
08/10/2023,149.97,8639308,151.14,153.1589,148.90
08/09/2023,150.30,8827135,153.17,153.32,149.73
08/08/2023,153.34,8446539,153.90,153.90,151.53
08/07/2023,155.91,5701417,155.50,156.14,154.37
08/04/2023,154.25,6804363,154.22,156.54,152.75
08/03/2023,154.19,6695690,152.48,155.19,152.16
08/02/2023,154.64,10039840,158.77,158.79,153.46
08/01/2023,160.53,4596966,159.67,160.89,158.95
07/31/2023,160.62,3934305,160.70,161.17,159.67
07/28/2023,160.50,7321149,160.16,161.04,158.83
07/27/2023,157.46,10244020,158.65,160.92,156.67
07/26/2023,154.68,6110042,155.02,155.88,152.95
07/25/2023,156.39,5773695,154.46,157.35,154.46
07/24/2023,153.92,4362531,153.99,154.54,152.90
07/21/2023,153.79,8246283,154.49,155.27,153.01
07/20/2023,152.97,14823250,155.64,156.41,152.29
07/19/2023,158.58,9333684,160.43,160.51,158.06
07/18/2023,160.26,6272862,159.12,160.79,157.62
07/17/2023,159.82,7316071,157.23,160.445,155.70
07/14/2023,156.90,7565581,158.69,160.70,156.20
07/13/2023,158.21,6395932,156.39,158.47,155.85
07/12/2023,154.50,6484145,153.53,154.68,152.90
07/11/2023,151.32,5153489,152.18,152.19,149.42
07/10/2023,151.16,6415512,149.58,151.41,149.35
07/07/2023,149.05,4351861,149.03,151.24,148.65
07/06/2023,148.91,4775622,148.34,149.08,147.155
07/05/2023,150.70,5187452,152.25,153.16,150.66
07/03/2023,153.60,2826703,153.17,154.07,152.25
06/30/2023,152.25,5309236,151.75,152.96,151.02
06/29/2023,149.92,4225874,150.82,150.96,148.91
06/28/2023,150.14,6800173,148.915,151.535,148.795
06/27/2023,151.51,6459360,147.43,151.80,146.96
06/26/2023,146.85,7403860,148.28,150.36,146.83
06/23/2023,147.53,5963465,147.75,148.45,146.96
06/22/2023,150.08,5959109,148.15,150.67,147.95
06/21/2023,149.34,5911651,152.04,152.47,148.73
06/20/2023,152.84,4597998,152.75,153.94,151.13
06/16/2023,153.38,6583153,155.80,155.94,153.17
06/15/2023,154.48,7587956,154.03,155.75,153.32
06/14/2023,155.60,7123411,152.81,155.74,152.03
06/13/2023,153.27,8274603,153.73,154.35,151.40
06/12/2023,151.18,7634040,148.51,151.45,148.40
06/09/2023,146.84,5960253,147.93,149.14,146.14
06/08/2023,146.17,5377204,144.64,146.575,144.33
06/07/2023,144.50,8687507,146.44,148.17,144.16
06/06/2023,145.33,5815057,143.50,146.1701,142.98
